_id,award,year,pos
aglerbr99w,Coach of the Year,1997,
aglerbr99w,Coach of the Year,2010,Coach
arcaija01w,Most Improved Player,2001,
augusse01w,Rookie of the Year,2006,
augusse01w,WNBA Finals Most Valuable Player,2011,G-F
beviltu01w,Kim Perrot Sportsmanship Award,2007,
birdsu01w,WNBA All-Decade Team,2006,G
birdsu01w,Kim Perrot Sportsmanship,2011,G
blackde01w,Defensive Player of the Year,1997,
blackde01w,Defensive Player of the Year,2001,
boltoru01w,WNBA All Decade Team Honorable Mention,2006,G
bonnede01w,Sixth Woman of the Year,2009,
bonnede01w,Sixth Woman of the Year,2010,G-F
bonnede01w,Sixth Woman of the Year,2011,F
campbed01w,Kim Perrot Sportsmanship Award,2003,
cashsw01w,All-Star Game Most Valuable Player,2009,
catchta01w,Defensive Player of the Year,2005,
catchta01w,Defensive Player of the Year,2006,
catchta01w,Defensive Player of the Year,2009,
catchta01w,Rookie of the Year,2002,
catchta01w,WNBA All-Decade Team,2006,F
catchta01w,Defensive Player of the Year,2010,F
catchta01w,Kim Perrot Sportsmanship,2010,F
catchta01w,Most Valuable Player,2011,F
catchta01w,WNBA Finals Most Valuable Player,2012,F
catchta01w,Defensive Player of the Year,2012,F
chancva99w,Coach of the Year,1997,
chancva99w,Coach of the Year,1998,
chancva99w,Coach of the Year,1999,
charlti01w,Rookie of the Year,2010,C
charlti01w,Peak Performer: Rebounds,2010,C
charlti01w,Peak Performer: Rebounds,2011,C
charlti01w,Most Valuable Player,2012,C
charlti01w,Peak Performer: Rebounds,2012,C
coopecy01w,Most Valuable Player,1997,
coopecy01w,Most Valuable Player,1998,
coopecy01w,WNBA Finals Most Valuable Player,1997,
coopecy01w,WNBA Finals Most Valuable Player,1998,
coopecy01w,WNBA Finals Most Valuable Player,1999,
coopecy01w,WNBA Finals Most Valuable Player,2000,
coopecy01w,WNBA All-Decade Team,2006,G
coopemi01w,Coach of the Year,2000,
douglka01w,All-Star Game Most Valuable Player,2006,
dunnli99wc,Coach of the Year,1998,
edwarte01w,Kim Perrot Sportsmanship Award,2004,
enissh01w,All-Star Game Most Valuable Player,1998,
enissh01w,New Pro Award,1998,
fordch01w,All-Star Game Most Valuable Player,2007,
fordch01w,Rookie of the Year,2003,
fowlesy01w,Defensive Player of the Year,2011,C
gilloje01w,Kim Perrot Sportsmanship Award,2002,
griffyo01w,Defensive Player of the Year,1998,
griffyo01w,Defensive Player of the Year,1999,
griffyo01w,Most Valuable Player,1999,
griffyo01w,Newcomer of the Year,1999,
griffyo01w,WNBA Finals Most Valuable Player,2005,
griffyo01w,WNBA All-Decade Team,2006,C
hoffmeb01w,Most Improved Player,2008,
holdsch01w,Rookie of the Year,1999,
holdsch01w,WNBA All Decade Team Honorable Mention,2006,F
hugheda99w,Coach of the Year,2001,
hugheda99w,Coach of the Year,2007,
jacksla01w,Defensive Player of the Year,2007,
jacksla01w,Most Valuable Player,2003,
jacksla01w,Most Valuable Player,2007,
jacksla01w,WNBA All-Decade Team,2006,C
jacksla01w,Most Valuable Player,2010,F
