_id,firstName,middleName,lastName,fullGivenName,nameNick,pos,height,weight,college,birthDate,birthCity,birthCountry,highSchool,hsCity,hsState,hsCountry,players_teams,awards_players
abrahta01w,Tajama,Ethia,Abraham,Tajama Abraham,"TJ,Taj",C,74.0,190,George Washington,1975-09-27,"St,Croix",ISV,Kecoughtan,Hampton,VA,USA,,
abrossv01w,Svetlana,Olegovna,Abrosimova,Svetlana Abrosimova,"Svet,Sveta",F,74.0,169,Connecticut,1980-07-09,St. Petersburg,URS,Petrogradskoi N86,St. Petersburg,,RUS,,
adairje01w,Jessica,Elizabeth,Adair,Jessica Adair,,C,76.0,197,George Washington,1986-12-19,Washington,USA,Anacostia Senior,Washington,DC,USA,,
adamsda01w,Danielle,E.,Adams,Danielle Adams,,F-C,73.0,239,Texas A&M,1989-02-19,Kansas City,USA,Lee's Summit,Lee's Summit,MO,USA,,
adamsjo01w,Jordan,,Adams,Jordan Adams,,C,75.0,180,New Mexico,1981-05-24,Las Vegas,USA,Moapa Valley,Overton,NV,USA,,
adamsmi01w,Michael,,Adams,Michael Adams,,,0.0,0,,0000-00-00,,,,,,,,
adubari99w,Richie,,Adubato,Richie Adubato,,,0.0,0,,0000-00-00,,,,,,,,
aglerbr99w,Brian,,Alger,Brian Agler,,,0.0,0,,0000-00-00,,,,,,,,
aguilel01w,Elisabeth,,Aguilar Lopez,Elisa Aguilar,Elisa,G,67.0,165,George Washington,1976-10-15,Madrid,ESP,,,,,,
ajavoma01w,Matee,,Ajavon,Matee Ajavon,,G,68.0,160,Rutgers,1986-05-07,Monrovia,LBR,Malcolm X. Shabazz,Newark,NJ,USA,,
alberma01w,Marcie,,Alberts,Marcie Alberts,,G,64.0,0,Ohio State,1975-04-12,Wooster,USA,Orrville,Orrville,OH,USA,,
aldrima01w,Markita,,Aldridge,Markita Aldridge,Kita,G,71.0,153,UNC Charlotte,1973-09-15,Detroit,USA,Martin Luther King,Detroit,MI,USA,,
alexaer01w,Erin,,Alexander,Erin Alexander,,G,67.0,140,California-Santa Barbara,1975-04-25,Santa Ynez,USA,Santa Ynez,Santa Ynez,CA,USA,,
alhalta01w,Tawona,,Alhaleem,Tawona Alhaleem,T,F-G,72.0,149,DePaul,1974-10-17,Flint,USA,Flint Central,Flint,MI,USA,,
allench01w,Charel,,Allen,Charel Allen,,G,71.0,135,Notre Dame,1986-07-23,Monessen,USA,Monessen,Monessen,PA,USA,,
allenso99w,Sonny,,Allen,Sonny Allen,,,0.0,0,,0000-00-00,,,,,,,,
amachma01w,Mactabene,,Amachree,Mactabene Amachree,,F,73.0,175,,1978-01-30,Port Harcourt,NGR,,,,,,
ambermo01w,Monique,,Ambers,Monique Ambers,,F,76.0,169,Arizona State,1970-12-21,,,,,,,,
anderam01w,Ambrosia,,Anderson,Ambrosia Anderson,,F,72.0,167,Brigham Young,1984-03-14,,,,,,,,
anderch01w,Chantelle,,Anderson,Chantelle Anderson,,C,78.0,190,Vanderbilt,1981-01-22,,,,,,,,
anderjo01w,Jolene,,Anderson,Jolene Anderson,,G,68.0,166,Wisconsin,1986-07-22,,,,,,,,
anderke01w,Keisha,,Anderson,Keisha Anderson,,G,67.0,125,Wisconsin,1974-05-17,,,,,,,,
andrame01w,Mery,,Andrade,Mery Andrade,,F,71.0,165,Old Dominion,1975-12-31,,,,,,,,
angelyv01w,Yvette,,Angel,Yvette Angel,,G,68.0,160,Ohio State,1963-10-14,,,Sacred Heart Academy,Amherst,NY,USA,,
anosini01w,Nkolika,Nonyalem,Anosike,Nicky Anosike,Nicky,C,75.0,211,Tennessee,1986-02-27,,,St. Peters,Staten Island,NY,USA,,
appelja01w,Jayne,Katherine,Appel,Jayne Appel,,C,76.0,210,Stanford,1988-05-14,Berkeley,USA,Carondelet,Concord,CA,USA,,
arcaija01w,Janeth,dos Santos,Arcain,Janeth Arcain,,G,71.0,147,none,1969-04-11,Carapicuiba,BRA,Minas Gerais,Santo Andres,,BRA,,
artiska01w,Katasha,R.,Artis,Katasha Artis,,F,73.0,155,Northeastern,1973-07-09,,,,,,,,
askamma01w,Marlies,,Askamp,Marlies Askamp,,C,77.0,198,none,1970-08-07,Dousten,GER,,,,,,
atkinla01w,La'Tangela,,Atkinson,La'Tangela Atkinson,,G-F,72.0,172,North Carolina,1984-03-22,,,Lee Central,Bishopville,SC,USA,,
atunrmo01w,Morenike,Olayinka,Atunrase,Morenike Atunrase,,G-F,70.0,143,Texas A&M,1986-04-14,,,,,,,,
augusse01w,Seimone,Delicia,Augustus,Seimone Augustus,,F,72.0,179,Louisiana State,1984-04-30,Baton Rouge,USA,Capitol,Baton Rouge,LA,USA,,
aycocan01w,Angela,,Aycock,Angela Aycock,,G-F,74.0,172,Kansas,1973-02-28,,,,,,,,
ayimmi01w,Miranda,,Ayim,Miranda Ayim,,F,75.0,0,Pepperdine,1988-05-06,Chatham,CAN,Saunders Secondary School,London,ON,CAN,,
azizle01w,Leigh,,Aziz,Leigh Aziz,,F,75.0,177,Syracuse,1979-02-28,,,,,,,,
azzije01w,Jennifer,L.,Azzi,Jennifer Azzi,,G,68.0,143,Stanford,1968-08-31,Oak Ridge,USA,,,,,,
badertr01w,Tricia,Lynne,Bader Binford,Tricia Bader Binford,Bader Mader,G,64.0,125,Boise State,1973-02-26,Boise,USA,Roaring Fork,Carbondale,CO,USA,,
bakerla01w,Laura,,Baker,Laura Baker,,G,67.0,140,California,1968-12-18,,,,,,,,
bakersh01w,Sherill,,Baker,Sherill Baker,,G,68.0,125,Georgia,1982-12-03,,,,,,,,
balesal01w,Alison,,Bales,Alison Bales,,C,79.0,218,Duke,1985-04-04,,,Beavercreek,Beavercreek,OH,USA,,
banchrh01w,Rhonda,,Smith Banchero,Rhonda Smith Banchero,,C,75.0,185,Washington,1973-05-01,,,,,,,,
baranel01w,Elena,Viktorovna,Baranova,Elena Baranova,,F,77.0,182,Academy of Sport Moscow,1972-01-28,Bishkek,URS,47 Bishkek,Bishkek,KYG,URS,,
barksla01w,LaQuanda,,Barksdale,LaQuanda Barksdale,,G,70.0,156,North Carolina,1979-10-03,,,,,,,,
barnead01w,Adia,Oshun,Barnes,Adia Barnes,,F,71.0,165,Arizona,1977-02-03,San Diego,USA,Mission Bay,San Diego,CA,USA,,
barnequ01w,Quacy,Maria,Barnes,Quacy Barnes,Q,C,77.0,185,Indiana,1976-09-26,Benton Harbor,USA,Benton Harbor,Benton Harbor,MI,USA,,
bassmi01w,Mistie,,Bass Williams Mims,Mistie Bass Williams Mims,,F,75.0,184,Duke,1983-12-02,,,Parker,Janesville,WI,USA,,
batkosu01w,Suzy,,Batkovic,Suzy Batkovic,,C,76.0,203,,1980-12-17,Newcastle,AUS,,,,,,
batteja01w,Jacqueline,,Batteast,Jacqueline Batteast,,F,73.0,163,Notre Dame,1983-03-26,,,,,,,,
battlas01w,Ashley,,Battle,Ashley Battle,,F,72.0,170,Connecticut,1982-05-31,,,The Linsley School,Pittsburgh,PA,USA,,
bauerca01w,Cass,,Bauer-Bilodeau,Cass Bauer-Bilodeau,,F-C,76.0,180,Montana State,1972-06-27,,,,,,,,
beardal01w,Alana,,Beard,Alana Beard,,G-F,71.0,160,Duke,1982-05-14,,,Southwood,Frierson,LA,USA,,
becenry01w,Ryneldi,,Becenti,Ryneldi Becenti,,G,66.0,140,Arizona State,1971-08-11,Fort Defiance,USA,Window Rock,Window Rock,AZ,USA,,
beckan99wc,Angela,,Beck,Angela Beck,,,0.0,0,,0000-00-00,,,,,,,,
beckki01w,Kimberly,,Beck,Kimberly Beck,,G,68.0,125,George Washington,1985-12-27,,,,,,,,
bellje01w,Jennifer,,Bell,Jennifer Bell,,F,73.0,160,Florida International,1970-05-26,,,,,,,,
