_id,year,tmID,games,minutes,points,steals,blocks
abrahta01w,1997,SAC,28,422,122,12,12
abrahta01w,1998,DET,12,44,18,2,1
abrossv01w,2001,MIN,26,846,343,42,9
abrossv01w,2002,MIN,27,805,314,42,10
abrossv01w,2003,MIN,30,792,318,44,11
abrossv01w,2004,MIN,22,462,146,30,2
abrossv01w,2005,MIN,31,777,304,48,6
abrossv01w,2006,MIN,34,724,263,34,1
abrossv01w,2007,MIN,34,843,345,44,4
abrossv01w,2008,CON,6,107,34,8,0
abrossv01w,2010,SEA,34,686,257,40,3
abrossv01w,2012,SEA,19,329,87,20,3
adairje01w,2010,MIN,1,14,5,0,0
adairje01w,2011,MIN,31,321,132,8,18
adairje01w,2012,MIN,19,168,46,3,4
adamsda01w,2011,SAS,23,480,286,12,15
adamsda01w,2012,SAS,34,686,402,23,23
adamsjo01w,2003,MIN,10,96,33,2,3
aguilel01w,2002,UTA,28,141,43,3,2
ajavoma01w,2008,HOU,34,604,273,31,6
ajavoma01w,2009,WAS,34,587,272,37,4
ajavoma01w,2010,WAS,34,497,199,38,2
ajavoma01w,2011,WAS,34,1065,501,57,9
ajavoma01w,2012,WAS,33,712,262,53,6
alberma01w,1997,CLE,5,30,0,2,0
aldrima01w,1997,COL,15,64,28,4,0
aldrima01w,1997,PRT,3,29,15,1,0
aldrima01w,1998,PHR,42,692,200,16,4
aldrima01w,1999,CLS,8,18,0,1,0
aldrima01w,1999,NEW,3,16,4,2,1
aldrima01w,1999,WAS,31,379,81,15,7
aldrima01w,2000,WAS,29,272,63,9,4
aldrima01w,2001,WAS,5,35,7,0,0
alexaer01w,1998,LAS,8,73,22,2,0
alexaer01w,1998,UTA,12,68,17,1,0
alhalta01w,2001,ORL,26,252,49,11,0
allench01w,2008,SAC,6,49,16,1,0
amachma01w,2001,NYL,2,3,1,0,1
amachma01w,2003,SEA,7,47,8,5,2
amachma01w,2005,WAS,3,3,2,0,0
ambermo01w,1997,PHO,19,85,14,0,2
ambermo01w,2002,SAC,2,4,0,0,0
